"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"The Blaze","Territory","The Blaze","2017","Cannes Grand Prix + UKMVA Video of Year","Raw Emotional Homecoming"
"Kendrick Lamar","HUMBLE.","Dave Meyers","2017","Grammy Winner + MTV Video of Year","Robotic Camera Religion"
"Kendrick Lamar","ELEMENT.","Jonas Lindstroem","2017","Director's Library + Visual Ref","Violent Photojournalism Tableaus"
"Young Thug","Wyclef Jean","Ryan Staake","2017","D&AD Pencil + Viral Meta-Narrative","Meta-Editing Disaster"
"Bonobo","No Reason","Oscar Hudson","2017","Camerimage Nom + 1.4 Awards","Expanding Tiny Room"
"Alt-J","In Cold Blood","Casper Balslev","2017","UKMVA Best Rock + 1.4 Awards","Wood Mouse Narration"
"Jay-Z","The Story of O.J.","Mark Romanek & JAY-Z","2017","Cannes Lions + Grammy Nom","Vintage Racist Cartoon Subversion"
"Jain","Makeba","Greg & Lio","2017","Grammy Nom + Vimeo Staff Pick","Optical Illusion Art Direction"
"Beck","Up All Night","Canada","2017","UKMVA Best Rock Int Nom","Superhero Drunk Rescue"
"Charli XCX","Boys","Charli XCX & Sarah McColgan","2017","Promonews Best of 2017","Female Gaze Subversion"
"OrelSan","Basique","Greg & Lio","2017","Victoires de la Musique Winner","Drone One-Shot Reveal"
"Hurts","Beautiful Ones","Tim Mattia","2017","UKMVA Best Pop Int","Reverse Chronology Tragedy"
"Radiohead","Man of War","Colin Read","2017","Promonews Pick + Craft Mastery","Day/Night Transition One-Shot"
"Mashrou' Leila","Roman","Jessy Moussallem","2017","Director's Library + 1.4 Awards","Feminist Middle-Eastern Dance"
"St. Vincent","New York","Alex Da Corte","2017","Creative Review + Art Direction","Neon Pop Art Tableau"
"Moses Sumney","Doomed","Allie Avital","2017","SXSW Jury Award + Vimeo Staff Pick","Underwater Tank Suspension"
"Katy Perry","Chained To The Rhythm","Mathew Cullen","2017","UKMVA Best Prod Design","Retro-Futurist Theme Park"
"Björk","The Gate","Andrew Thomas Huang","2017","Nowness Premiere + High Art","Digital Spiritual Kaleidoscope"
"Royal Blood","Lights Out","The Sacred Egg","2017","UKMVA Best VFX Nom","Blood Room Gravity"
"Forest Swords","Crow","Liam Young","2017","Ars Electronica + Tech Innovation","Drone Lidar Scanning"
"King Krule","Biscuit Town","Paraic & Michael","2017","1.4 Awards + Cinematography","Noir City Atmosphere"
"Arcade Fire","Everything Now","The Sacred Egg","2017","UKMVA Best Rock Nom","Desert Rocket Launch"
"Residente","Somos Anormales","Augusto Gordon","2017","Latin Grammy Winner + BMVA","Evolutionary Body Horror"
