"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Kendrick Lamar","Alright","Colin Tilley","2015","Grammy Winner + Pitchfork #1","Monochrome Urban Levitation"
"Tame Impala","The Less I Know The Better","Canada","2015","Vimeo Best of Year + MVA Cult Classic","Retro-Surreal High School Erotica"
"M.I.A.","Borders","M.I.A.","2015","Promonews Best of Year + Cultural Impact","Human Body Architecture"
"Royal Blood","Out of the Black","David Wilson","2015","D&AD Pencil + 1.4 Awards Show","Aliens vs Mascots Animation"
"The Chemical Brothers","Sometimes I Feel So Deserted","Ninian Doff","2015","UKMVA Best Electronic + Cyclope","Cyborg Zombie Survival"
"David Bowie","Blackstar","Johan Renck","2015","MTV Nom + Critical Consensus","Occult Sci-Fi Horror"
"FKA Twigs","M3LL155X (Glass & Patron)","FKA Twigs","2015","UKMVA Best Alt + Dazed Visionary","Avant-Garde Pregnancy Vogue"
"Run The Jewels","Close Your Eyes (And Count To Fuck)","AG Rojas","2015","UKMVA Best Urban + 1.4 Awards","Infinite Struggle Loop"
"Son Lux","Change Is Everything","Nathan Johnson","2015","Vimeo Staff Pick + NPR Feature","Pins and String Stop-Motion"
"Darwin Deez","The Mess She Made","Oscar Hudson","2015","Promonews Pick + Director's Library","Currency Face Animation"
"Vince Staples","Señorita","Ian Pons Jewell","2015","1.4 Awards + Promonews Favorite","Dystopian Human Zoo"
"Stromae","Quand c'est?","Xavier Reyé","2015","Promonews Best of Year","Cancer Spider Choreography"
"Childish Gambino","Sober","Hiro Murai","2015","Director's Library + SXSW","Drunk Magic Realism"
"Rihanna","Bitch Better Have My Money","Megaforce","2015","UKMVA Best Pop + Viral Narrative","Cinematic Revenge Thriller"
"U2","Song For Someone","Vincent Haycock","2015","UKMVA Best Cinematography + Ciclope","Cinematic Narrative Short"
"The Shoes","Drifted","Dent De Cuir","2015","Vimeo Staff Pick + 1.4 Awards","Stop-Motion Furniture Surfing"
"Flying Lotus","Coronus The Terminator","Young Replicant","2015","D&AD Pencil + Promonews","Deathbed Surrealism"
"Donnie Trumpet & The Social Experiment","Sunday Candy","Austin Vesely","2015","Vimeo Staff Pick + Viral Hit","One-Shot High School Theatre"
"Tiga","Bugatti","Helmi","2015","UKMVA Best Art Direction Nom","Retro Winter Surrealism"
"Brodinski","Can't Help Myself","Megaforce","2015","Vimeo Staff Pick + Promonews","Analogue Visual Feedback"
"Action Bronson","Baby Blue","Lil Chris","2015","YouTube Music Awards + Viral Humor","Coming to America Spoof"
"Years & Years","King","Nadia Marquard Otzen","2015","UKMVA Best Interactive Nom","Choreographed Push and Pull"
"Joywave","Somebody New","Keith Schofield","2015","Vimeo Staff Pick + 1.4 Funny","CGI Glitch Skateboarding"
"Naughty Boy ft. Beyoncé","Runnin' (Lose It All)","Charlie Robins","2015","Camerimage Nom + UKMVA","Underwater Zero-Gravity Romance"
"Shamir","On The Regular","Anthony Sylvester","2015","Director's Library + Dazed","Technicolor Pop Minimalism"
