"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"A$AP Rocky","Tailor Swif","Vania Heymann & Gal Muggia","2024","Director's Library + Viral Surrealism","Infinite Loop Surrealism"
"Charli XCX","360","Aidan Zamiri","2024","UKMVA Video of Year + Cultural Impact","Era-Defining Internet Panopticon"
"Fontaines D.C.","Starburster","Aube Perrie","2024","UKMVA Best Rock + Promonews Pick","Manic Spitting Montage"
"RM","LOST!","Aube Perrie","2024","Cannes Lions Shortlist + 1.4 Awards","Surreal Office Maze"
"Justice","Generator","Léa Ceheivi","2024","UKMVA Best Dance + D&AD Archive","Robot Sextape Sci-Fi"
"The Chemical Brothers","Skipping Like A Stone","Pensacola","2024","BMVA Best Concept + 1.4 Awards","Stone Skipping Physics"
"AntsLive","Captain Ants","Tom Emmerson","2024","UKMVA Best Hip Hop UK + 1.4 Awards","Alpine Rap Stunt"
"Free Nationals ft. A$AP Rocky","Gangsta","François Rousselet","2024","Promonews Best of Month + Tier 2 Director","Deepfake Kid Courtroom"
"Jade","Angel of My Dreams","Aube Perrie","2024","UKMVA Best Editing Winner","Pop Star Life Cycle"
"Gennre","Wynona","Phantom Directors","2024","BMVA Best Music Video Winner","Noir Social Realism"
"Reeve","Wax On You","Ataka51","2024","BMVA Best VFX Winner + Staff Pick","Melting Face Horror"
"Sabrina Carpenter","Taste","Dave Meyers","2024","MTV Best Direction + Viral Narrative","Death Becomes Her Homage"
"Mette","Bet","C Prinz","2024","UKMVA Best Pop Int Winner","Liquid Choreography"
"Ezra Collective","God Gave Me Feet For Dancing","Tajana Tokyo","2024","UKMVA Best R&B UK Winner","Ballroom Dance Narrative"
"IDLES","Gift Horse","David Helman","2024","UKMVA Best Rock UK Winner","Suburban Surrealism"
"Kamasi Washington","Get Lit","Jenn Nkiru","2024","UKMVA Best R&B Int + Director's Library","Afro-Surrealist Tableau"
"Porter Robinson","Cheerleader","Hugh Mulhern","2024","Promonews Best of 2024","Hyper-Pop Anime Mixed Media"
"Amyl & The Sniffers","Big Dreams","John Angus Stewart","2024","Promonews Best of 2024","One-Shot Desert Ride"
"Hana Vu","Care","Maegan Houang","2024","Promonews Best of 2024","Reverse Body Horror"
"Depeche Mode","People Are Good","Rich Hall","2024","UKMVA Best Alt UK Winner","Noir Monochrome Reveal"
"Kendrick Lamar","Not Like Us","Dave Free & Kendrick Lamar","2024","Promonews Best of 2024 + Cultural Victory","West Coast Cultural Victory"
"Lisa","Rockstar","Henry Scholfield","2024","MTV Best K-Pop + Craft Benchmark","Bangkok Cyberpunk Choreography"
"Chinese Man","Too Late","Victor Haegelin","2024","BMVA Best Animation Winner","Infinite Stop-Motion Loop"
"Gesaffelstein","Hard Dreams","Manu Cossu","2024","Director's Library + Nowness","Funeral March Aesthetics"
"FKA Twigs","Eusexua","Jordan Hemingway","2024","Dazed Premiere + High Art","Corporate Techno Dystopia"
"Childish Gambino","Little Foot Big Foot","Hiro Murai","2024","Camerimage Nom + Narrative","Black & White Cinematic Dance"
