"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Pharrell Williams ft. 21 Savage & Tyler, The Creator","Cash In Cash Out","François Rousselet","2022","Annecy Cristal + UKMVA Video of Year","CGI Zoetrope Loop"
"Kendrick Lamar","The Heart Part 5","Dave Free & Kendrick Lamar","2022","Cannes Grand Prix + Cultural Milestone","Deepfake Face Morph"
"Joji","Glimpse of Us","Dan Streit","2022","Director's Library + Viral Cultural Event","Chaos Destruction Documentary"
"Rosalía","Saoko","Valentin Petit","2022","Latin Grammy + UKMVA Best Editing","High-Octane Bike Montage"
"Harry Styles","As It Was","Tanu Muino","2022","MTV Best Pop + Craft Consensus","Turntable Choreography"
"Black Midi","Sugar/Tzu","Edem Wornoo","2022","1.4 Awards + Camerimage Nom","Futuristic Boxing Match"
"Little Simz","Point and Kill","Ebeneza Blanche","2022","Tribeca Selection + Promonews Pick","Nigerian 70s Cinema"
"Stromae","Fils de joie","Julien & Quentin","2022","UKMVA Best Pop Int + 1.4 Awards","Fictional State Funeral"
"DJ Snake","Disco Maghreb","Elias Belkeddar","2022","Ciclope Winner + Director's Library","Algerian Wedding Chaos"
"The Blaze","Dreamer","The Blaze","2022","Vimeo Staff Pick + Nowness","Silhouetted Human Sculpture"
"FKA Twigs","Papi Bones","Aidan Zamiri","2022","UKMVA Best R&B UK + Dazed","Goat Market Fashion"
"Alt-J","The Actor","Saskia Dixie","2022","UKMVA Best Alt UK + Promonews","Uncanny CPR Dance"
"OrelSan","La Quête","Victor Haegelin","2022","BMVA Best Animation + Annecy","Claymation Life Cycle"
"Doja Cat","Vegas","Samuel Bayer","2022","MTV Nom + Craft Execution","Elvis Biopic Aesthetics"
"Arca","Cayó","Albert Moya","2022","Pitchfork Best + Director's Library","Cyberpunk Diva Performance"
"Lous and the Yakuza","Monsters","Lisette Donkersloot","2022","1.4 Awards + UKMVA Nom","Surreal Nightmare Logic"
"Fontaines D.C.","Jackie Down The Line","Hugh Mulhern","2022","Promonews Best of Year","Flower Archery One-Shot"
"Obongjayar","Tinko Tinko","Milo Blake","2022","UKMVA Best R&B Nom","Military Tent Surrealism"
"Jean-Michel Jarre","Brutalism Take Me Away","Stillz","2022","BMVA Winner + Techno Aesthetic","Glitch Art Performance"
"Tourist","Your Love","Duncan Loudon","2022","1.4 Awards + UKMVA Winner","Abstract Emotional Narrative"
"Zzzahara","Bulletproof","Creature","2022","Vimeo Staff Pick + Indie Favorite","Lo-Fi Dark Humor"
"Kendrick Lamar","N95","Dave Free & Kendrick Lamar","2022","MTV Best Cinematography","Monochrome Surrealist Vignettes"
"A$AP Rocky","Shittin' Me","Grin Machine","2022","Promonews Pick + VFX Heavy","Moshpit Visual Overload"
"Yard Act","The Overload","James Slater","2022","UKMVA Best Rock Nom + 1.4 Awards","British Absurdist Satire"
"Hikaru Utada","Bad Mode","Joe Connor","2022","Creative Review + Director's Library","Domestic Water Tank"
"Labrinth","Mount Everest","Tanima Mehrotra","2022","Vimeo Staff Pick + Promonews","Levitating surrealism"
