"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Bronson","Keep Moving","StyleWar","2020","UKMVA Best Editing + 1.4 Awards Gold","Stock Footage Corporate Satire"
"The Weeknd","Blinding Lights","Anton Tammi","2020","MTV Video of Year + Cultural Ubiquity","Chromatic Aberration Psychosis"
"Michael Kiwanuka","Hero","CC Wade","2020","UKMVA Video of Year + Black Dog Auteur","70s Conspiracy Thriller"
"FKA Twigs","Sad Day","Hiro Murai","2020","Director's Library + Creative Review","Wuxia Sword Fight in Kitchen"
"Woodkid","Goliath","Yoann Lemoine","2020","Ciclope Winner + VFX Showcase","Industrial CGI Titan"
"Thao & The Get Down Stay Down","Phenom","Erin Murray & Jeremy Schaulin-Rioux","2020","MTV Best Home Video + Washington Post","Zoom Call Choreography Grid"
"Salvatore Ganacci","Boycycle","Vedran Rupic","2020","BMVA Winner + Vimeo Staff Pick Best of Year","Centaur Motorcycle Body Horror"
"Rosalía & Travis Scott","TKN","Canada","2020","Latin Grammy + Promonews Hit","Feral Child Horde Choreography"
"Dua Lipa","Physical","Canada","2020","D&AD Pencil + Set Design","Set Design Color Wheel"
"DJ Shadow","Rocket Fuel","Sam Pilling","2020","UKMVA Best Hip Hop + 1.4 Awards","Analogue Bar Fight Chaos"
"Flatbush Zombies","Afterlife","Arnaud Bresson","2020","Promonews Best of Year + Tech Innovation","X-Ray Thermal Camera"
"Mild Minds","Walls","Colin Read","2020","UKMVA Best Alt Nom + Vimeo Staff Pick","Drone Crowd Duplication"
"Rina Sawayama","XS","Ali Kurr","2020","Promonews Best of 2020 + Dazed","QVC Robot Horror"
"Harry Styles","Adore You","Dave Meyers","2020","Cannes Lions + Narrative Scale","Narrative Fish Fable"
"Idles","Model Village","Michel Gondry & Olivier Gondry","2020","WePresent Feature + Animation","Paper Cut-Out Deepfake"
"Beyoncé","Brown Skin Girl","Jenn Nkiru","2020","Cannes Lions + Grammy Winner","Debutante Ball Tableau"
"Duck Sauce","Mesmerize","Keith Schofield","2020","1.4 Awards + Meta-Humor","Stock Watermark Animation"
"Christine and the Queens","La vita nuova","Colin Solal Cardo","2020","Pitchfork Best + Longform","Opera House Long-Take"
"Arca","Nonbinary","Frederik Heyman","2020","Paper Magazine + Nowness","Cyberpunk Pregnancy Tableau"
"Agoria","Call of the Wild","Loïc Andrieu","2020","BMVA Best Cinematography","Sci-Fi Dystopian Short"
"Tshegue","M'benga Lila","Ibrahim K","2020","1.4 Awards Show + Vimeo Staff Pick","Kinetic Motorcycle Ritual"
"The Strokes","The Adults Are Talking","Roman Coppola","2020","Promonews Pick","Human vs Robot Baseball"
"Lous and the Yakuza","Dilemme","Wendy Morgan","2020","Camerimage Nom + Director's Library","Marble Statue Aesthetic"
"Ashnikko","Daisy","Charlotte Rutherford","2020","Promonews Best of Month","Latex CGI Hyper-Pop"
