"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Childish Gambino","This Is America","Hiro Murai","2018","Cannes Grand Prix + Cultural Phenomenon","One-Shot Violent Satire"
"The Carters","Apes**t","Ricky Saiz","2018","Cannes Lions + Louvre Takeover","Fine Art Recontextualization"
"Tierra Whack","Whack World","Thibaut Duverneix & Mathieu Léger","2018","D&AD Pencil + Promonews Best of Year","15-Minute Album Visualizer"
"Rosalía","Malamente","Canada","2018","UKMVA Best Pop + Latin Grammy","Bullfighting Urban Surrealism"
"A$AP Rocky","Sundress","Frank Lebon","2018","Vimeo Staff Pick + 1.4 Awards","Frame-Rate Glitch Freeze"
"A$AP Rocky","Praise The Lord (Da Shine)","Dexter Navy","2018","Promonews Pick + Trendsetter","Dual Location Split-Screen"
"LCD Soundsystem","Oh Baby","Rian Johnson","2018","UKMVA Best Alt + Narrative Excellence","Sci-Fi Narrative Drama"
"Chaka Khan","Like Sugar","Kim Gehrig","2018","Cannes Lions + Creative Review","Looping Glitch Choreography"
"Sevdaliza","Shahmaran","Emmanuel Adjei","2018","D&AD Pencil + Director's Library","CGI Desert Opulence"
"Vince Staples","FUN!","Calmatic","2018","UKMVA Best Urban Nom + 1.4 Awards","Google Earth Surveillance"
"Mitski","Nobody","Christopher Good","2018","Promonews Best of 2018","Surreal Arts & Crafts"
"DJ Snake","Magenta Riddim","Vania Heymann & Gal Muggia","2018","1.4 Awards + Vimeo Staff Pick","Firefighter Synchronized Dance"
"Kali Uchis ft. Tyler, The Creator","After The Storm","Nadia Lee Cohen","2018","UKMVA Prod Design + Dazed","Retro Consumerist Surrealism"
"Travis Scott","Sicko Mode","Dave Meyers","2018","MTV VMA + VFX Showcase","Hyper-VFX Houston Tribute"
"Joji","Slow Dancing In The Dark","Jared Hogan","2018","Director's Library + Viral Cult","Satyr Dying in Club"
"Anderson .Paak","Til It's Over","FKA Twigs","2018","Adweek Ad of Year (HomePod)","Practical Set Extension"
"Jon Hopkins","Emerald Rush","Robert Hunter & Elliot Dear","2018","UKMVA Best Animation","Rotoscoped Night Journey"
"Florence + The Machine","Big God","Autumn de Wilde","2018","UKMVA Best Choreography","Goya Painting Choreography"
"Young Fathers","Toy","Salomon Ligthelm","2018","UKMVA Best Rock Winner","Dictator Child Portrait"
"Dizzee Rascal","Bop N Keep It Dippin","Romain Chassaing","2018","UKMVA Best Prod Design","Wes Anderson Trap House"
"Simian Mobile Disco","Caught In A Wave","Kijek/Adamski","2018","BMVA Best Animation Nom","Voxels Physical Animation"
"Lolo Zouaï","Challenge","Grant Spanier","2018","Vimeo Staff Pick","Split-Screen French New Wave"
"Benny Blanco","Eastside","Jake Schreier","2018","Director's Library + Craft Innovation","Spinning Camera Narrative"
"Tommy Cash","Pussy Money Weed","Tommy Cash","2018","BMVA Most Bizarre Winner","Post-Soviet Grotesque"
