"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"AntsLive","Number One Candidate","Tom Emmerson","2023","UKMVA Best Hip Hop + 1.4 Awards Gold","Real DIY Dolomite Stunt"
"Jungle","Back on 74","J. Lloyd & Charlie Di Placido","2023","UKMVA Best Choreography + Viral Phenomenon","One-Shot Interactive Dance"
"Troye Sivan","Rush","Gordon von Steiner","2023","Grammy Nom + Director's Library","Sweaty Club Choreography"
"The Chemical Brothers","Live Again","Dom & Nic","2023","UKMVA Best VFX + 1.4 Awards","Impossible Camera Transition"
"Little Simz","Gorilla","Dave Meyers","2023","UKMVA Best Hip Hop + Tech Innovation","Interactive Zoom-Out Loop"
"Mette","Mama's Eyes","Camille Summers-Valli","2023","UKMVA Best Editing + Video of Year","Flash-Cut Studio Performance"
"Harry Styles","Satellite","Aube Perrie","2023","Cannes Lions + Narrative","Wall-E Style Robot POV"
"Doja Cat","Paint The Town Red","Nina McNeely","2023","MTV Video of Year + Craft","Demonic Painting Animation"
"A$AP Rocky","Riot (Rowdy Pipe'n)","A$AP Rocky","2023","Promonews Pick + Production Design","Pharrell Tank Ambush"
"Audrey Nuna","Locket","Bleu Désert","2023","Vimeo Staff Pick + 1.4 Awards","Surreal Blue Void"
"James Blake","Loading","Pilar Zeta","2023","Director's Library + Art Direction","Retro-Futurist Surrealism"
"Mitski","My Love Mine All Mine","A.G. Cook","2023","Promonews Best of Year","Avant-Garde Chair Sculpture"
"The Beatles","Now And Then","Peter Jackson","2023","Global Event + VFX Innovation","Archival Footage Integration"
"Kendrick Lamar","Count Me Out","Dave Free & Kendrick Lamar","2023","Cannes Grand Prix + Craft","Therapy Session Split-Screen"
"Rosalía","Vampiros","Canada","2023","Latin Grammy + Promonews","Nocturnal Barcelona Drive"
"Young Fathers","I Saw","Salomon Ligthelm","2023","UKMVA Best Rock + Cinematography","Cinematic Rebellion Narrative"
"Gorillaz","Cracker Island","Jamie Hewlett & Fx Goby","2023","Annecy Cristal + Animation","Cult Occult Animation"
"Slowthai","Feel Good","Ugo Mangin","2023","1.4 Awards + UKMVA Nom","Hyper-Active Bedroom Fan"
"Olivia Rodrigo","vampire","Petra Collins","2023","MTV Best Editing","Bloody Stage Performance"
"Stormzy","Mel Made Me Do It","Klavs Thakkar","2023","UKMVA Best Longform","11-Minute Cultural Cameo Fest"
"Hak Baker","Telephones","Hugh Mulhern","2023","UKMVA Best Alt UK + 1.4 Awards","Glitchy Pub Crawl"
"Labrinth","Never Felt So Alone","Billie Eilish","2023","Promonews Pick + Mood","Dark Minimalist Binding"
"Burna Boy","City Boys","20K","2023","Promonews Pick + Styling","GTA Style Sandbox"
"Ashnikko","Worms","Raman Djafari","2023","UKMVA Best Animation Nom","CGI Post-Human Wasteland"
"Squid","The Blades","Kasper Häggström","2023","Director's Library + Humor","Silence and Car Trouble"
