"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Lil Nas X","Montero (Call Me By Your Name)","Tanu Muino","2021","UKMVA Best Director + Grammy Nom","CGI Biblical Descent"
"Pa Salieu ft. BackRoad Gee","My Family","Femi Ladi","2021","UKMVA Video of Year + Camerimage","One-Shot Horror Transition"
"Megan Thee Stallion","Thot Shit","Aube Perrie","2021","UKMVA Best Urban Int + Director's Library","Revenge on Politicians"
"Bicep","Apricots","Mark Jenkin","2021","1.4 Awards Gold + BAFTA Winner (Director)","Hand-Processed 16mm"
"Kelly Lee Owens","Corner Of My Sky","Kasper Häggström","2021","1.4 Awards Gold + UKMVA Winner","Toaster Rage Surrealism"
"Little Simz","Introvert","Salomon Ligthelm","2021","UKMVA Best Hip Hop UK + Promonews","Museum Natural History Tableau"
"The Chemical Brothers","The Darkness That You Fear","Ruffmercy","2021","UKMVA Best Editing Nom + Vimeo Staff Pick","Mixed Media Rotoscoping"
"Duck Sauce","Mesmerize","Keith Schofield","2021","UKMVA Best Dance Int + Meta-Humor","Watermark Stock Animation"
"Kanye West","Heaven and Hell","Arnaud Bresson","2021","D&AD Pencil + Painting Ref","Classical Painting Recreation"
"James Blake","Say What You Will","Bear Damen","2021","UKMVA Best Alt Int + 1.4 Awards","Narcissistic Ghost"
"Crumb","Locket","Haoyan of America","2021","Vimeo Staff Pick + Tech Innovation","360 Camera Tiny Planet"
"Slowthai","Cancelled","The Rest","2021","UKMVA Best Hip Hop UK Nom","Slasher Movie Parody"
"Joy Crookes","Feet Don't Fail Me Now","Taz Tron Delix","2021","UKMVA Best R&B UK + Color","Sari Motorbike Stunt"
"Idles","Crawl!","Loose & Edie","2021","UKMVA Best Rock UK + Animation","Claymation Post-Punk"
"Jungle","Keep Moving","J. Lloyd & Charlie Di Placido","2021","UKMVA Best Choreography","One-Shot Barracks Dance"
"Doja Cat","Kiss Me More","Warren Fu","2021","MTV Video of Year Nom","Sci-Fi Pin-Up"
"Tyler, The Creator","Lumberjack","Wolf Haley","2021","BET Best Hip Hop Video","Wes Anderson Snowscape"
"Skrillex, Starrah & Four Tet","Butterflies","Ben Strebel","2021","UKMVA Best Dance Int Nom","Ghost Choreography"
"Unknown Mortal Orchestra","That Life","Lydia Garnett","2021","UKMVA Best Alt Int Nom","Puppet Pool Party"
"Rosalía ft. The Weeknd","La Fama","Director X","2021","UKMVA Best Pop Int Nom","Noir Nightclub Drama"
"Olivia Rodrigo","brutal","Petra Collins","2021","MTV Best Editing + Gen Z Aesthetic","Y2K Glitch Aesthetic"
"Greentea Peng","Nah It Ain't The Same","Machine Operated","2021","Promonews Best of Year","35mm Spiritual Hip-Hop"
"Radiohead","If You Say The Word","Kasper Häggström","2021","Director's Library + 1.4 Awards","Business Men Hunting"
"Salvatore Ganacci","Step-Grandma","Vedran Rupic","2021","BMVA Most Bizarre + Comedy","Surreal Elderly Abuse"
"PinkPantheress","Just For Me","Lauzza","2021","Promonews Pick + TikTok Aesthetic","Lo-Fi Y2K Nostalgia"
