"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"Jamie xx","Gosh","Romain Gavras","2016","Cannes Gold + UKMVA Video of Year + Staff Pick","Dystopian Scale & Crowd Control"
"The Chemical Brothers","Wide Open","Dom & Nic","2016","Creative Review Annual + Cannes Lions","CGI Mesh Dancer Transformation"
"Frank Ocean","Nikes","Tyrone Lebon","2016","Promonews Best of Year + Dazed Cultural Impact","Glitter Stream of Consciousness"
"Massive Attack","Voodoo In My Blood","Ringan Ledwidge","2016","D&AD Pencil + 1.4 Awards Longlist","Levitating Sentinel Horror"
"David Bowie","Lazarus","Johan Renck","2016","Ciclope Winner + Critical Consensus","Claustrophobic Deathbed Symbolism"
"Coldplay","Up&Up","Vania Heymann & Gal Muggia","2016","Vimeo Best of Year + Grammy Nom","Surreal Scale Compositing"
"OK Go","Upside Down & Inside Out","Damian Kulash & Trish Sie","2016","Cannes Lions + Viral Phenomenon","Zero-Gravity Plane Choreography"
"The Blaze","Virile","The Blaze","2016","Vimeo Staff Pick + Director's Library Essential","Bromance Kinetic Energy"
"Radiohead","Burn The Witch","Chris Hopewell","2016","Annecy Festival + Promonews Pick","Trumpton Style Wicker Man"
"Miike Snow","Genghis Khan","Ninian Doff","2016","UKMVA Best Pop + 1.4 Awards","Bond Villain Musical Comedy"
"DJ Shadow ft. Run The Jewels","Nobody Speak","Sam Pilling","2016","Ciclope Craft + UKMVA Best Urban","UN Council Brawl"
"Beyoncé","Formation","Melina Matsoukas","2016","Cannes Grand Prix + Cultural Milestone","Southern Gothic Flood"
"Jane Zhang","Dust My Shoulders Off","Outpost (Dave Meyers)","2016","Promonews Hit + Viral Craft","Living Famous Paintings"
"Pup","Sleep In The Heat","Jeremy Schaulin-Rioux","2016","Vimeo Staff Pick + Director's Library","Narrative Band Road Trip"
"Bonobo","Kerala","Bison","2016","UKMVA Best Editing + Creative Review","Looping Anxiety Attack"
"Sevdaliza","Human","Emmanuel Adjei","2016","BMVA Best Concept + Director's Library","Satyr Mythological Noir"
"Mykki Blanco","High School Never Ends","Matt Lambert","2016","UKMVA Best Urban Int + D&AD","Shakespearean Queer Tragedy"
"Kaytranada","Lite Spots","Martin C. Parreau","2016","Vimeo Staff Pick + Promonews Pick","DIY Robot Friendship"
"Valentino Khan","Deep Down Low","Ian Pons Jewell","2016","UKMVA Best Dance + 1.4 Awards","Tokyo Sushi Hallucination"
"Mark Pritchard ft. Thom Yorke","Beautiful People","Michal Marczak","2016","Sundance Selection + Vimeo Staff Pick","Anti-Gravity Rock Landscape"
"Metronomy","Old Skool","Dawn Shadforth","2016","Promonews Best of Month","70s Domestic Chaos"
"Leon Bridges","River","Miles Jay","2016","Camerimage Nom + 1.4 Highly Commended","Documentary Baltimore Soul"
"Cassius","The Missing","We Are From LA","2016","FWA Site of Day + Interactive Innovation","Face-Swap Interactivity"
"Breakbot","2Good4Me","Simon Cahn","2016","Vimeo Staff Pick + Nowness Premiere","Lolita-esque Techno Color"
"Unknown Mortal Orchestra","Multi-Love","Lionel Williams","2016","SXSW Interactive + Vimeo Staff Pick","Isometric CGI Psychedelia"
"Yeasayer","I Am Chemistry","New Media Ltd","2016","Promonews Pick + VFX Showcase","Grotesque CGI Surrealism"
"The Weeknd","False Alarm","Ilya Naishuller","2016","UKMVA Best VFX + Viral Action","First-Person Shooter Heist"
"Polo & Pan","Ani Kuni","May","2016","BMVA Best Animation Nom","Psychedelic Cartoon Trip"
